RMSE,MAE,R2,Model,Dropped_Feature
22.557443177960852,18.153578515999587,-0.8464241016814191,XGBoost,Diesel
26.12674027162434,21.51724506990895,-1.4769781305428724,LightGBM,month
21.962770154559614,18.494022190748325,-0.7503542343933434,Linear,month
30.170633524805105,25.223323370917683,-2.3030912806115698,RandomForest,month
23.919473954283085,19.46388413081531,-1.0761320116640478,XGBoost,month
26.46295431604137,21.98888430596527,-1.5411387008951185,LightGBM,day
21.424829073595934,18.042907232484502,-0.6656603508197458,Linear,day
28.902149653381564,24.249984326367628,-2.031181957477686,RandomForest,day
22.89744555443203,18.60785751673289,-0.9025049104157163,XGBoost,day
21.761125145721945,17.8995568711621,-0.7183610080359624,LightGBM,USD_TO_NPR
21.41568722488076,18.08880980526807,-0.6642391991079464,Linear,USD_TO_NPR
22.619208915374642,18.21181127097515,-0.8565495296996568,RandomForest,USD_TO_NPR
22.793486823296092,18.115712022471516,-0.8852686635014313,XGBoost,USD_TO_NPR
25.317608437148852,22.25075980207915,-1.3259323220721408,LightGBM,month_sin
21.286866580695207,18.01137626076719,-0.644277797543066,Linear,month_sin
26.057525402072283,21.978441290220246,-1.4638715108607,RandomForest,month_sin
22.629092829843227,18.377523842821912,-0.8581723968848955,XGBoost,month_sin
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,is_weekend
21.50065328520304,18.17352805451119,-0.6774710281253711,Linear,is_weekend
28.77477213654285,24.174067645012173,-2.0045227908776777,RandomForest,is_weekend
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,is_weekend
31.076778956938934,28.06836960000444,-2.5044810328592084,LightGBM,Inflation
22.34584362097211,19.09888145493216,-0.811945900315834,Linear,Inflation
32.652114223138774,27.43266424825127,-2.868782640393395,RandomForest,Inflation
23.037815926696332,18.77113214100311,-0.9259026207936067,XGBoost,Inflation
26.0412926476808,21.49222306869139,-1.4608026881133966,LightGBM,Hilly_Temperature
21.660468177320375,18.360054230098605,-0.7025010761442696,Linear,Hilly_Temperature
29.339506585434442,24.663400823569926,-2.123613765336564,RandomForest,Hilly_Temperature
22.949056822477225,18.657809315485213,-0.9110911391700651,XGBoost,Hilly_Temperature
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Season_Winter
21.496983652438505,18.16703893568819,-0.6768984708871153,Linear,Season_Winter
28.805633602065466,23.997388472919013,-2.0109710574464947,RandomForest,Season_Winter
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Season_Winter
