Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Wind_Speed,Dhading_Temperature,Dhading_Precipitation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Temperature,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Wind_Speed,Kavre_Temperature,Kavre_Precipitation,Kavre_Rainfall_MM,Kavre_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Supply_Volume_lag1,Supply_Volume_lag7,Supply_Volume_lag30,Average_Price_rollmean_7,Average_Price_rollmean_30,Supply_Volume_rollmean_30,Supply_Volume_rollmean_90
2022-04-25,65.0,39500.0,122.68,143.0,0,False,False,True,False,7.61,5.641998,23.229002,0.0,0.0,1005.4875,4.63552,22.475662,0.0,0.0,1007.67084,5.1675453,23.739416,0.2,0.2,1007.0334,8.473302,28.082,0.0,0.0,1002.36255,25,4,0,0,0.8660254037844387,-0.4999999999999998,55.0,56.67,55.0,47700.0,76885.0,85960.0,57.38285714285714,60.001,77583.28333333334,62771.166666666664
2022-04-26,56.67,16500.0,123.01,143.0,0,False,False,True,False,7.61,5.504471,22.431084,0.1,0.1,1007.41254,6.1104255,22.336082,0.5,0.5,1009.11664,4.7710724,24.06442,0.0,0.0,1008.2834,9.335215,29.002832,0.0,0.0,1003.5583,26,4,1,0,0.8660254037844387,-0.4999999999999998,65.0,56.67,56.67,39500.0,64475.0,59825.0,57.38285714285714,59.723333333333336,76139.11666666667,62776.72222222222
2022-04-27,55.0,22200.0,122.84,143.0,0,False,False,True,False,7.61,5.3877335,22.801918,0.0,0.0,1006.9499,6.0307574,23.163164,0.0,0.0,1008.63745,6.1175156,23.676918,0.0,0.0,1008.06683,10.032008,29.279913,0.4,0.4,1003.72906,27,4,2,0,0.8660254037844387,-0.4999999999999998,56.67,55.0,56.67,16500.0,48450.0,52662.5,57.144285714285715,59.556666666666665,75123.7,62912.27777777778
2022-04-28,66.67,27050.0,122.76,143.0,0,False,False,True,False,7.61,4.1600003,22.051916,2.9,2.9,1009.15424,4.928822,22.013168,0.0,0.0,1010.68335,5.2545247,23.564417,0.5,0.5,1009.8665,11.303712,30.332,0.0,0.0,1005.5125,28,4,3,0,0.8660254037844387,-0.4999999999999998,55.0,65.0,55.0,22200.0,46575.0,45500.0,58.811428571428564,59.94566666666667,74508.7,63101.72222222222
2022-04-29,66.67,49650.0,122.68,143.0,0,False,False,True,False,7.61,4.0112743,21.816504,1.9000002,1.9000002,1008.09985,4.87176,20.373583,6.0,6.0,1009.9209,3.9052217,21.941504,2.5,2.5,1009.0999,9.9943,28.973665,6.7,6.7,1004.4334,29,4,4,0,0.8660254037844387,-0.4999999999999998,66.67,56.67,56.67,27050.0,59156.0,76280.0,60.24,60.334666666666664,73621.03333333334,63542.27777777778
2022-04-30,66.67,8450.0,122.59,143.0,0,False,False,True,False,7.61,4.556027,19.99775,11.2,11.2,1007.7583,4.2393284,18.625666,17.7,17.7,1009.66254,4.2710385,19.810251,5.2999997,5.2999997,1008.7834,16.810968,27.729914,0.5,0.5,1004.375,30,4,5,1,0.8660254037844387,-0.4999999999999998,66.67,55.0,56.67,49650.0,48750.0,107060.0,61.66857142857143,60.72366666666667,70334.03333333334,63377.833333333336
2022-05-01,66.67,40175.0,122.59,143.0,0,False,False,True,False,7.04,4.2691655,19.433168,23.500002,23.500002,1007.97504,4.118794,17.934,30.799997,30.799997,1009.9209,4.8713527,19.245665,3.5,3.5,1008.9832,9.736874,26.550749,9.3,9.3,1004.4458,1,5,6,1,0.49999999999999994,-0.8660254037844387,66.67,66.67,55.0,8450.0,47700.0,110200.0,63.33571428571429,61.057,67999.86666666667,63624.22222222222
2022-05-02,66.67,35700.0,122.59,143.0,0,False,False,True,False,7.04,4.7993236,20.029001,14.000001,14.000001,1007.9207,4.399986,18.748583,13.0,13.0,1009.92914,4.9292836,19.50817,5.6,5.6,1009.2126,12.177277,26.05075,10.3,10.3,1004.70416,2,5,0,0,0.49999999999999994,-0.8660254037844387,66.67,66.67,65.0,40175.0,39500.0,106650.0,63.574285714285715,61.39033333333334,65634.86666666667,63737.555555555555
2022-05-03,85.0,42375.0,122.73,143.0,0,False,False,True,False,7.04,5.2605042,21.226917,0.8,0.8,1008.1833,3.4557407,19.61733,2.0,2.0,1009.89996,5.0863547,20.047752,3.0999997,3.0999997,1009.4626,13.196823,26.30075,0.0,0.0,1005.70844,3,5,1,0,0.49999999999999994,-0.8660254037844387,66.67,66.67,56.67,35700.0,16500.0,141475.0,67.62142857142858,62.39033333333334,62331.53333333333,63841.72222222222
2022-05-04,76.67,33470.0,122.73,143.0,0,False,False,True,False,7.04,4.14492,19.366499,17.5,17.5,1010.90826,3.319835,18.731916,18.300001,18.300001,1012.27075,3.6701658,19.25817,18.6,18.6,1011.63336,13.498055,26.471582,2.0,2.0,1007.7166,4,5,2,0,0.49999999999999994,-0.8660254037844387,85.0,66.67,55.0,42375.0,22200.0,105025.0,70.71714285714286,63.11266666666667,59946.36666666667,63763.61111111111
