Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Kathmandu_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Hilly_Temperature,Hilly_Precipitation,Hilly_Rainfall_MM,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Supply_Volume_lag1,Supply_Volume_lag7,Supply_Volume_lag30,Sarlahi_Temperature_lag1,Sarlahi_Temperature_lag3,Sarlahi_Temperature_lag7,Sarlahi_Rainfall_MM_lag1,Sarlahi_Rainfall_MM_lag3,Sarlahi_Rainfall_MM_lag7,Hilly_Temperature_lag1,Hilly_Temperature_lag3,Hilly_Temperature_lag7,Hilly_Rainfall_MM_lag1,Hilly_Rainfall_MM_lag3,Hilly_Rainfall_MM_lag7,Kathmandu_Rainfall_MM_lag1,Kathmandu_Rainfall_MM_lag2,Average_Price_rollmean_1,Average_Price_rollstd_1,Average_Price_rollmean_7,Average_Price_rollstd_7,Supply_Volume_rollmean_3,Supply_Volume_rollstd_3,Average_Price
65500.0,119.76,128.0,0,0,0,0,1,6.23,7.6,15.252833,0.0,0.0,9.501917,0.4,0.4,21,2,0,0,0.8660254037844386,0.5000000000000001,75.0,76.67,76.67,48955.0,33250.0,17625.0,15.082002,16.504915,15.154916,0.4,0.0,0.0,9.5529575,12.12066575,11.0581675,1.799999975,0.0,0.0,2.6999998,0.0,75.0,,76.43142857142857,0.6312006699259617,50651.666666666664,14823.006049156558,75.0
67375.0,119.52,128.0,0,0,0,0,1,6.23,0.70000005,16.473667,0.0,0.0,10.093583,0.1,0.1,22,2,1,0,0.8660254037844386,0.5000000000000001,75.0,76.67,76.67,65500.0,85375.0,12000.0,15.252833,15.819501,15.179916,0.0,0.0,0.0,9.501917,11.91441625,11.37275,0.4,0.25,0.4,7.6,2.6999998,75.0,,76.19285714285715,0.8148765609124492,50401.666666666664,14429.4926568238,65.0
54000.0,120.11,128.0,0,0,0,0,1,6.23,0.2,17.398668,0.0,0.0,12.4050415,0.0,0.0,23,2,2,0,0.8660254037844386,0.5000000000000001,65.0,75.0,76.67,67375.0,55250.0,16625.0,16.473667,15.082002,15.827832,0.0,0.4,0.0,10.093583,9.5529575,11.737334,0.1,1.799999975,0.75,0.70000005,7.6,65.0,,74.5257142857143,4.273581078919168,60610.0,10136.970701348506,65.0
89200.0,119.6,128.0,0,0,0,0,1,6.23,0.2,19.323668,0.0,0.0,13.508166,1.70000005,1.70000005,24,2,3,0,0.8660254037844386,0.5000000000000001,65.0,75.0,76.67,54000.0,11250.0,16312.5,17.398668,15.252833,16.117416,0.0,0.0,0.0,12.4050415,9.501917,11.7487915,0.0,0.4,0.0,0.2,0.70000005,65.0,,72.85857142857142,5.42012739263402,62291.666666666664,7241.733793321268,65.0
44750.0,121.35,128.0,0,0,0,0,1,6.23,5.4,18.256998,3.8,3.8,12.04879175,1.000000075,1.000000075,25,2,4,0,0.8660254037844386,0.5000000000000001,65.0,65.0,76.67,89200.0,66250.0,16000.0,19.323668,16.473667,16.504915,0.0,0.0,0.0,13.508166,10.093583,12.12066575,1.70000005,0.1,0.0,0.2,0.2,65.0,,71.19142857142857,5.831541901794215,70191.66666666667,17768.235937574973,65.0
64875.0,120.77,128.0,0,0,0,0,1,6.23,0.3,18.302834,0.0,0.0,12.711291,1.0,1.0,26,2,5,1,0.8660254037844386,0.5000000000000001,65.0,65.0,76.67,44750.0,36750.0,10000.0,18.256998,17.398668,15.819501,3.8,0.0,0.0,12.04879175,12.4050415,11.91441625,1.000000075,0.0,0.25,5.4,0.2,65.0,,69.52428571428571,5.670167126116828,62650.0,23453.51785980086,60.0
85000.0,120.77,128.0,0,0,0,0,1,6.23,0.4,18.275751,0.0,0.0,13.918585,0.1,0.1,27,2,6,1,0.8660254037844386,0.5000000000000001,60.0,65.0,75.0,64875.0,48955.0,14416.666666666668,18.302834,19.323668,15.082002,0.0,0.0,0.4,12.711291,13.508166,9.5529575,1.0,1.70000005,1.799999975,0.3,5.4,60.0,,67.14285714285714,5.669467095138471,66275.0,22258.046297912082,55.0
41050.0,120.77,128.0,0,0,0,0,1,6.23,0.0,18.698668,0.0,0.0,13.7675425,0.0,0.0,28,2,0,0,0.8660254037844386,0.5000000000000001,55.0,65.0,75.0,85000.0,65500.0,18833.333333333336,18.275751,18.256998,15.252833,0.0,3.8,0.0,13.918585,12.04879175,9.501917,0.1,1.000000075,0.4,0.4,0.3,55.0,,64.28571428571429,6.074928962939614,64875.0,20124.999999999945,66.67
86640.0,120.85,128.0,0,0,0,1,0,7.14,0.1,18.550749,0.0,0.0,14.541501,0.1,0.1,1,3,1,0,1.0,6.123233995736766e-17,66.67,60.0,65.0,41050.0,67375.0,23250.0,18.698668,18.302834,16.473667,0.0,0.0,0.0,13.7675425,12.711291,10.093583,0.0,1.0,0.1,0.0,0.4,66.67,,63.09571428571429,4.131278483080336,63641.666666666664,22000.942214671883,66.67
62800.0,120.85,128.0,0,0,0,1,0,7.14,0.4,18.648666,0.0,0.0,14.4842095,1.69999995,1.69999995,2,3,2,0,1.0,6.123233995736766e-17,66.67,55.0,65.0,86640.0,54000.0,18000.0,18.550749,18.275751,17.398668,0.0,0.0,0.0,14.541501,13.918585,12.4050415,0.1,0.1,0.0,0.1,0.0,66.67,,63.33428571428572,4.304175713354327,70896.66666666667,25860.97510407005,56.67
