RMSE,MAE,R2,Model,Dropped_Feature
6.037892088069365,4.248661348543836,0.8678422105679908,LightGBM,Kathmandu_Rainfall_MM
4.187806799455551,2.7690279939157683,0.9364236856430141,Linear,Kathmandu_Rainfall_MM
4.69040591024823,3.0735053545161755,0.9202477528518437,RandomForest,Kathmandu_Rainfall_MM
5.848950324751651,4.203671481920326,0.8759839376683735,XGBoost,Kathmandu_Rainfall_MM
5.993537376530173,4.169507436882876,0.8697767565660395,LightGBM,Hilly_Temperature_lag3
4.211537784490292,2.780326823398653,0.9357011101363882,Linear,Hilly_Temperature_lag3
4.734046065226918,3.077095448568707,0.918756798105256,RandomForest,Hilly_Temperature_lag3
5.726728147611165,4.102449581864952,0.8811127704861175,XGBoost,Hilly_Temperature_lag3
6.102709585474495,4.223272816168936,0.8649895208199384,LightGBM,Kathmandu_Rainfall_MM_lag2
4.210627435365635,2.785548614647953,0.9357289043126792,Linear,Kathmandu_Rainfall_MM_lag2
4.739923572009478,3.0960347475334746,0.9185549395319074,RandomForest,Kathmandu_Rainfall_MM_lag2
5.933061403883624,4.295015642470208,0.8723914546187905,XGBoost,Kathmandu_Rainfall_MM_lag2
5.878909722669012,4.037716121264071,0.8747102177861423,LightGBM,Supply_Volume_rollstd_3
4.219211652195159,2.795623372017169,0.9354665778907034,Linear,Supply_Volume_rollstd_3
4.743587696718234,3.102567213353058,0.918428971169635,RandomForest,Supply_Volume_rollstd_3
5.603626034367486,3.965175774062889,0.886169049910607,XGBoost,Supply_Volume_rollstd_3
5.946029115949562,4.109455545319764,0.8718330247715476,LightGBM,Sarlahi_Temperature
4.210476634287693,2.8221837965798247,0.9357335078911717,Linear,Sarlahi_Temperature
4.688027774956432,3.065951403347208,0.9203286045119924,RandomForest,Sarlahi_Temperature
5.770806285744612,4.168452966662421,0.8792755975779564,XGBoost,Sarlahi_Temperature
7.218670112364976,5.1011766351038155,0.8110980405987365,LightGBM,Average_Price_lag1
4.659004521598261,3.1469024277787403,0.9213120310152915,Linear,Average_Price_lag1
6.334006880408359,3.9818688089300704,0.8545615847742837,RandomForest,Average_Price_lag1
6.827920148631982,4.7780811951125886,0.8309952390997313,XGBoost,Average_Price_lag1
5.980449850020492,4.077880865494265,0.8703448482565781,LightGBM,Average_Price_rollstd_7
4.2242720463838,2.798737208566105,0.9353116862109536,Linear,Average_Price_rollstd_7
4.730145265341283,3.1080768201007998,0.9188906298854094,RandomForest,Average_Price_rollstd_7
